Workshop,Region/Country,Industry,Organization size,Participant ID,Race,Gender,Orientation,Age,Disability,Years in company,Satisfaction,Staff level,Staff type,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,24,asian,female,heterosexual,50+,none,20,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,25,hispanic,female,heterosexual,40+,none,6,0,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,26,black,female,heterosexual,30+,none,2,0,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,27,black,female,heterosexual,40+,none,2,0,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,28,white,female,heterosexual,50+,none,32,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,30,white,female,heterosexual,40+,none,1,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,39,white,female,heterosexual,30+,none,1,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,40,white,male,heterosexual,30+,invisible,5,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,41,hispanic,female,heterosexual,30+,invisible,5,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,42,white,male,heterosexual,40+,invisible,3,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,43,white,female,heterosexual,40+,both,3,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,44,white,female,heterosexual,40+,invisible,14,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,45,white,female,heterosexual,40+,none,13,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,46,black,female,heterosexual,30+,none,2,0,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,47,hispanic,male,heterosexual,40+,none,6,-1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,48,asian,female,heterosexual,40+,none,24,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,49,white,female,heterosexual,40+,none,5,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,50,middle-eastern,male,heterosexual,30+,none,1,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,51,Indian,male,heterosexual,50+,none,15,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,52,white,male,heterosexual,60+,none,2,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,53,white,female,heterosexual,20+,none,6,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,54,black,female,heterosexual,20+,none,1,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,55,black,male,heterosexual,40+,none,9,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,56,white,male,heterosexual,40+,none,17,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,57,white,male,heterosexual,50+,none,9,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,58,white,male,heterosexual,50+,none,13,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,59,middle-eastern,female,heterosexual,30+,invisible,8,0,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,60,middle-eastern,male,heterosexual,40+,none,18,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,61,white,female,heterosexual,40+,none,10,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,62,black,male,heterosexual,30+,invisible,9,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,63,black,female,heterosexual,40+,none,1,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,64,black,female,heterosexual,40+,none,6,-2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,65,asian,female,empty,50+,empty,18,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,66,white,female,heterosexual,50+,none,0,0,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,67,white,female,heterosexual,20+,none,5,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,68,asian,female,asexual,30+,none,3,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,69,white,female,heterosexual,50+,none,18,0,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,70,white,male,heterosexual,40+,none,15,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,71,black,female,heterosexual,30+,none,1,skip,,,,,,,,,,,,,,,,,,
